rank,score,regime,size,seed,cluster_count_min,cluster_count_max,cluster_size_min,cluster_size_max,removed_min,removed_max,open_cells,optimal_moves,optimal_overlap,snake_moves,spiral_moves,heuristic_gap,turn_count,turn_density,move_entropy,spatial_turn_entropy,bridges,articulations,dead_ends,choice_points,alt_optima_fraction,alt_optima_probed
161,0.5201,dispersed,14,7,12,25,1,2,0.18,0.28,179,181,3,197,193,0.066,112,0.619,1.998,3.143,2,2,1,163,,0
162,0.5196,default,10,24,3,5,5,10,0.2,0.4,80,81,2,97,97,0.198,51,0.630,1.959,2.950,2,3,0,62,,0
163,0.5164,dispersed,14,48,12,25,1,2,0.18,0.28,178,180,3,229,196,0.089,111,0.617,1.992,3.137,1,1,1,161,,0
164,0.5143,default,14,34,4,7,7,14,0.2,0.4,172,173,2,220,199,0.150,100,0.578,1.992,3.112,1,1,1,155,,0
165,0.5128,default,8,18,2,4,4,8,0.2,0.4,48,49,2,75,64,0.306,28,0.571,1.948,2.851,6,7,2,35,,0
166,0.5128,single_mass,10,2,1,2,25,60,0.25,0.35,82,81,0,94,119,0.160,48,0.593,1.987,2.987,13,13,2,64,,0
167,0.5128,default,12,40,4,6,6,12,0.2,0.4,118,120,3,148,141,0.175,66,0.550,1.998,3.065,5,6,3,95,,0
168,0.5115,single_mass,14,14,1,2,25,60,0.25,0.35,170,172,3,198,207,0.151,96,0.558,1.980,3.060,6,7,1,152,,0
169,0.5110,medium_clusters,14,14,3,4,6,12,0.3,0.4,178,178,1,223,196,0.101,102,0.573,1.998,3.107,5,5,2,164,,0
170,0.5103,single_mass,12,15,1,2,25,60,0.25,0.35,133,132,0,173,155,0.174,67,0.508,1.980,3.084,5,6,1,121,,0
171,0.5097,single_mass,10,15,1,2,25,60,0.25,0.35,87,86,0,99,95,0.105,60,0.698,1.972,3.054,2,2,1,76,,0
172,0.5096,default,10,14,3,5,5,10,0.2,0.4,79,80,2,99,95,0.188,46,0.575,1.961,3.001,6,6,1,61,,0
173,0.5092,single_mass,8,5,1,2,25,60,0.25,0.35,44,46,3,58,55,0.196,30,0.652,1.949,2.737,3,3,3,35,,0
174,0.5089,dispersed,10,15,12,25,1,2,0.18,0.28,83,85,3,113,95,0.118,53,0.624,1.963,3.109,3,3,2,64,,0
175,0.5083,medium_clusters,14,15,3,4,6,12,0.3,0.4,182,181,0,199,203,0.099,105,0.580,1.984,3.144,1,1,1,172,,0
176,0.5076,medium_clusters,14,48,3,4,6,12,0.3,0.4,180,179,0,205,195,0.089,111,0.620,1.990,3.121,1,1,1,165,,0
177,0.5050,medium_clusters,14,31,3,4,6,12,0.3,0.4,182,183,2,209,197,0.077,114,0.623,1.994,3.089,3,4,1,169,,0
